Port Label,Time Plugged In,Time Unplugged,Total Time Plugged In
Dad,2023-09-27 00:19:30,2023-09-27 00:19:31,0:00:01.005245
Spare1,2023-09-27 00:19:37,2023-09-27 00:19:37,0:00:00.180398
Meadow,2023-09-27 00:19:46,2023-09-27 00:19:47,0:00:00.955290
Spare1,2023-09-27 00:19:51,2023-09-27 00:19:52,0:00:01.286978
Spare3,2023-09-27 00:19:54,2023-09-27 00:19:56,0:00:01.524961
Spare2,2023-09-27 00:19:59,2023-09-27 00:20:00,0:00:01.215288
Spare4,2023-09-27 00:20:03,2023-09-27 00:20:04,0:00:01.286145
Dad,2023-09-27 00:20:59,2023-09-27 00:21:02,0:00:02.818814
Hudson,2023-09-27 00:21:06,2023-09-27 00:21:07,0:00:01.547081
Dad,2023-09-27 00:23:18,2023-09-27 00:23:20,0:00:02.046708
Hudson,2023-09-27 00:23:24,2023-09-27 00:23:25,0:00:01.266108
Meadow,2023-09-27 00:23:28,2023-09-27 00:23:29,0:00:01.474272
Spare1,2023-09-27 00:23:32,2023-09-27 00:23:34,0:00:02.310475
Spare2,2023-09-27 00:23:38,2023-09-27 00:23:41,0:00:02.819717
Spare3,2023-09-27 00:23:44,2023-09-27 00:23:47,0:00:02.823449
Spare4,2023-09-27 00:23:49,2023-09-27 00:23:53,0:00:03.336401
Dad,2023-09-27 00:26:46,2023-09-27 00:26:50,0:00:03.851617
Hudson,2023-09-27 00:27:05,2023-09-27 00:27:06,0:00:01.462564
Meadow,2023-09-27 00:27:32,2023-09-27 00:27:34,0:00:01.456669
Dad,2023-09-27 00:35:24,2023-09-27 00:35:25,0:00:01.210462
Spare1,2023-09-27 00:35:33,2023-09-27 00:35:34,0:00:00.954487
Dad,2023-09-27 00:35:43,2023-09-27 00:35:43,0:00:00.684438
USB Bus 1 1.1.1.4,2023-09-27 00:37:25,2023-09-27 00:37:26,0:00:01.011136
USB Bus 1 1.1.1.2,2023-09-27 00:40:16,2023-09-27 00:40:18,0:00:01.737691
Meadow,2023-09-27 00:50:06,2023-09-27 00:50:07,0:00:01.005146
Meadow,2023-09-27 00:50:12,2023-09-27 00:50:13,0:00:00.755215
Dad,2023-09-27 00:50:16,2023-09-27 00:50:16,0:00:00.453778
Hudson,2023-09-27 00:50:20,2023-09-27 00:50:21,0:00:00.496658
Spare4,2023-09-27 00:50:26,2023-09-27 00:50:27,0:00:00.691016
Spare3,2023-09-27 00:50:29,2023-09-27 00:50:30,0:00:00.754830
Spare2,2023-09-27 00:50:34,2023-09-27 00:50:34,0:00:00.449495
Spare1,2023-09-27 00:50:37,2023-09-27 00:50:38,0:00:01.271803
Meadow,2023-09-27 00:50:41,2023-09-27 00:50:42,0:00:01.477962
Hudson,2023-09-27 00:50:45,2023-09-27 00:50:47,0:00:02.053098
Dad,2023-09-27 00:50:50,2023-09-27 00:50:51,0:00:01.268827
Hudson,2023-09-27 00:50:57,2023-09-27 00:51:21,0:00:24.336191
Spare2,2023-09-27 00:51:25,2023-09-27 00:51:29,0:00:04.340307
Dad,2023-09-27 00:51:35,2023-09-27 00:51:37,0:00:02.229834
Dad,2023-09-27 00:51:41,2023-09-27 00:56:47,0:05:05.392673
Dad,2023-09-27 00:56:48,2023-09-27 00:56:50,0:00:02.547347
Dad,2023-09-27 00:58:08,2023-09-27 00:58:10,0:00:02.483868
Meadow,2023-09-27 00:58:17,2023-09-27 00:58:20,0:00:03.253408
Meadow,2023-09-27 08:48:09,2023-09-27 08:48:26,0:00:17.114336
Meadow,2023-09-27 15:52:10,2023-09-27 15:52:26,0:00:15.566135
Meadow,2023-09-27 15:52:27,2023-09-27 15:52:45,0:00:18.186529
Meadow,2023-09-27 15:52:48,2023-09-27 15:53:18,0:00:29.718422
Meadow,2023-09-27 15:53:20,2023-09-27 15:53:22,0:00:01.778583
Meadow,2023-09-27 15:53:22,2023-09-27 15:54:17,0:00:54.543362
Meadow,2023-09-27 15:54:36,2023-09-27 15:54:37,0:00:00.691372
Meadow,2023-09-27 15:54:44,2023-09-27 15:57:20,0:02:36.137537
Meadow,2023-09-27 08:00:32,2023-09-27 08:00:35,0:00:03.511241
Meadow,2023-09-27 08:00:59,2023-09-27 08:21:34,0:20:34.552679
Meadow,2023-09-27 11:43:12,2023-09-27 15:43:00,3:59:47.230457
Dad,2023-09-27 19:37:55,2023-09-27 19:37:59,0:00:03.580511
Hudson,2023-09-27 19:38:06,2023-09-27 19:38:09,0:00:02.800905
Hudson,2023-09-27 23:32:22,2023-09-28 09:28:29,9:56:06.845233
