2023-09-28 14:17:30.208434,2804,42
2023-09-28 14:17:35.326964,2811,50
2023-09-28 14:17:40.466450,2894,48
2023-09-28 14:17:45.502619,2787,42
2023-09-28 14:17:50.589154,2850,36
2023-09-28 14:17:56.027959,2827,38
2023-09-28 14:18:01.138344,2782,46
2023-09-28 14:18:06.259501,2866,43
2023-09-28 14:18:11.369316,2885,38
2023-09-28 14:18:16.497628,2814,80
2023-09-28 14:18:21.537815,2859,46
2023-09-28 14:18:26.633112,2887,16
2023-09-28 14:18:31.756869,2895,2
2023-09-28 14:18:36.876738,2858,20
2023-09-28 14:18:41.988821,2880,47
2023-09-28 14:18:47.118999,2916,33
2023-09-28 14:18:52.230427,2890,45
2023-09-28 14:18:57.349933,2953,39
2023-09-28 14:19:02.492207,2823,43
2023-09-28 14:19:07.597774,2823,58
2023-09-28 14:19:12.708057,2838,48
2023-09-28 14:19:17.845819,2869,50
2023-09-28 14:19:22.949810,2919,77
2023-09-28 14:19:28.069572,2816,51
2023-09-28 14:19:33.328431,2855,35
